request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Full payment of 15656000 on 2025-08-03 is safe.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Full payment of 6670 on 2026-07-05 is safe.
request_28,281.89,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Pay 1302.40 in full on 2024-08-15.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Full payment of 51524 on 2025-11-04 is safe.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 payment(s) of 268.74 starting 2026-04-06.
request_31,3231140.74,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay 18164000 in full on 2024-11-15.
request_32,14175.20,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Pay 40018 in full on 2025-04-15.
request_33,37707.32,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Pay 118000 in full on 2026-02-15.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Full payment of 129400 on 2024-12-04 is safe.
request_35,25159.95,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay 212000 in full on 2026-01-15.
request_36,615.13,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay 3954 in full on 2026-09-15.
request_37,4880085.52,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Pay 14649000 in full on 2024-05-15.
request_38,142.86,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay 971.30 in full on 2025-10-15.
request_39,29898,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_40,332.46,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Pay 1290.30 in full on 2024-08-15.
request_41,10155278.23,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Full payment of 52100 on 2026-01-05 is safe.
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay 43339000 in full on 2024-11-15.
request_44,31333.86,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay 95800 in full on 2025-04-15.
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay 21983000 in full on 2026-09-15.
request_46,39927,affordable_with_plan,partial_payment,2024-12-03:39927|2024-12-03:9523,2024-12-03,none,Pay 39927 today and remaining 9523 on 2024-12-03.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Full payment of 38114000 on 2025-05-05 is safe.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Full payment of 45700 on 2026-07-25 is safe.
request_49,11974188.05,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 payment(s) of 11902106.67 starting 2024-03-18.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Full payment of 43900 on 2025-08-06 is safe.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Full payment of 2191000 on 2026-01-03 is safe.
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay 28870 in full on 2024-06-15.
request_53,477.89,affordable_later,wait,2026-01-15:1699.20,2026-01-15,none,Pay 1699.20 in full on 2026-01-15.
request_54,377.72,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use 3 payment(s) of 75781.33 starting 2026-06-11.
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,Pay 623.64 today and remaining 257.92 on 2025-02-15.
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay 61446 in full on 2026-06-15.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Full payment of 16226000 on 2024-12-07 is safe.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 payment(s) of 48741.33 starting 2025-05-07.
request_60,130.33,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay 199.89 in full on 2026-01-15.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 payment(s) of 10074.83 starting 2024-03-17.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of 404.23 on 2025-08-05 is safe.
request_63,43711.12,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_65,5782.77,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Full payment of 22200 on 2026-04-03 is safe.
request_67,362.92,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Pay 2094 in full on 2024-11-15.
request_68,1455.49,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,Use 3 payment(s) of 725.09 starting 2025-02-14.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Full payment of 529.10 on 2026-01-04 is safe.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay 243900 in full on 2025-02-15.
request_71,0,not_affordable,not_recommended,none,,none,Do not proceed with request. None of the available options keeps minimum balance protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Full payment of 11330 on 2026-07-05 is safe.
